module_name,mini_module,lesson_order
PPH,pph_welcome_pretest,1
PPH,pph_definition_types_of_pph,2
PPH,pph_4Ts,3
PPH,pph_amstl,4
PPH,pph_measuring_blood_loss,5
PPH,pph_emotive_bundle,6
PPH,pph_essential_skills,7
PPH,pph_monitoring_and_documentation,8
PPH,pph_referral_and_transfer,9
PPH,pph_post_test,10
APH,aph_welcome_pretest,1
APH,aph_definitions,2
APH,aph_diagnosis_assessment,3
APH,aph_emergency_response_initial_resuscitation,4
APH,aph_placental_praevia,5
APH,aph_placental_abruption,6
APH,aph_referral_and_transfer,7
APH,aph_post_test,8
RMC,rmc_welcome_pretest,1
RMC,rmc_definition,2
RMC,rmc_human_rights,3
RMC,rmc_barriers_to_quality_maternal_healthcare,4
RMC,rmc_d&a_types_experience_by_postpartumwomen,5
RMC,rmc_person_centred_maternity_care,6
RMC,rmc_post_test,7
Communication,comms_welcome_pretest,1
Communication,comms_definitions,2
Communication,comms_core_communication_skills,3
Communication,comms_cultural_awareness,4
Communication,comms_trauma-Informed_communication_and_de-escalation,5
Communication,comms_communication_in_emergencies,6
Communication,comms_post_test,7
